                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.4615,                 1.0003,                 1.5589,                0.87095,                0.77902,                0.87453,                0.49472,                 1.4907,                0.85948,                 1.5553,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4518,                0.98663,                 1.5469,                0.87301,                0.76788,                0.87122,                0.49118,                 1.4907,                0.84334,                 1.5458,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.449,                0.96752,                  1.539,                0.87369,                0.77394,                0.87028,                0.50197,                 1.4966,                0.83399,                 1.5487,               0.000911,               0.000911,               0.000911
                     58,                 1.4567,                0.96636,                 1.5474,                0.88513,                0.76862,                0.87358,                 0.5069,                 1.4576,                0.82653,                 1.5234,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4533,                0.97611,                 1.5513,                0.85636,                0.78327,                 0.8714,                0.50569,                 1.4785,                0.83578,                 1.5359,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4385,                0.98209,                 1.5381,                0.85477,                0.78892,                  0.877,                0.51174,                 1.4502,                0.81861,                 1.5165,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4528,                 0.9654,                 1.5456,                0.87494,                0.78152,                0.88266,                0.50796,                 1.4605,                0.83558,                 1.5268,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4379,                0.95466,                 1.5375,                0.86788,                0.78617,                0.88308,                0.50915,                 1.4353,                0.83489,                 1.5155,               0.000812,               0.000812,               0.000812
                     63,                 1.4333,                0.93676,                 1.5284,                0.86911,                0.78777,                0.87829,                0.51264,                 1.4242,                0.81818,                 1.5017,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4464,                 0.9522,                 1.5415,                0.87401,                0.77489,                0.87528,                0.51091,                 1.4441,                0.81533,                 1.5162,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4271,                0.93338,                 1.5279,                0.86638,                0.79202,                0.88493,                0.51629,                 1.4305,                0.79565,                 1.5015,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.424,                0.92167,                 1.5202,                0.86019,                0.78883,                0.88015,                 0.5173,                 1.4356,                0.79667,                 1.5096,              0.0007328,              0.0007328,              0.0007328
